Country,Origin,Total Deaths,Total Damages ('000 US$)
Swaziland,NA,500,NA
Somalia,NA,5,NA
Soviet Union,NA,NA,NA
Soviet Union,NA,NA,NA
Thailand,NA,NA,NA
Thailand,NA,55,13000
Turkey,NA,10,NA
Taiwan (Province of China),NA,26,NA
United States of America (the),NA,20,400000
United States of America (the),NA,NA,461000
United States of America (the),NA,10,NA
United States of America (the),NA,30,NA
Venezuela (Bolivarian Republic of),NA,20,NA
Vanuatu,NA,NA,NA
Vanuatu,NA,NA,1000
Yemen P Dem Rep,NA,NA,16000
Yemen P Dem Rep,NA,NA,16200
Yugoslavia,NA,NA,5000
Yugoslavia,NA,70,NA
South Africa,NA,NA,NA
South Africa,NA,104,1000
Zambia,NA,NA,NA
Zimbabwe,NA,NA,1000
El Salvador,NA,20,5000
Solomon Islands,NA,NA,NA
El Salvador,NA,NA,NA
El Salvador,NA,500,280000
Soviet Union,NA,NA,NA
Soviet Union,NA,NA,NA
Tonga,NA,6,21200
Tonga,NA,1,1100
Tunisia,NA,117,90000
"Tanzania, United Republic of",NA,NA,NA
Uganda,NA,3,NA
United States of America (the),NA,73,500000
United States of America (the),NA,20,100000
United States of America (the),NA,33,NA
United States of America (the),NA,28,200000
United States of America (the),NA,3,230000
United States of America (the),NA,270,1000000
United States of America (the),NA,11,NA
United States of America (the),NA,NA,33900
United States of America (the),NA,8,40000
United States of America (the),NA,NA,42000
United States of America (the),NA,11,NA
United States of America (the),NA,20,NA
United States of America (the),NA,37,NA
Viet Nam,NA,70,NA
Yemen P Dem Rep,NA,482,975000
Yemen Arab Rep,NA,1507,2000000
Zambia,NA,51,NA
Somalia,NA,NA,NA
United States of America (the),NA,NA,6250
Sudan (the),NA,150000,NA
Sudan (the),NA,NA,NA
Senegal,NA,NA,1406
Sao Tome and Principe,NA,NA,NA
Soviet Union,NA,NA,NA
Soviet Union,NA,NA,5000
Soviet Union,NA,NA,NA
Soviet Union,NA,NA,NA
Thailand,NA,50,NA
Turkey,NA,1346,25000
Taiwan (Province of China),NA,82,NA
"Tanzania, United Republic of",NA,163,NA
United States of America (the),NA,NA,31000
United States of America (the),NA,2,15000
United States of America (the),NA,21,3000000
United States of America (the),NA,188,NA
United States of America (the),NA,19,525000
United States of America (the),NA,NA,1000000
United States of America (the),NA,NA,300000
United States of America (the),NA,10,100000
United States of America (the),NA,5,130000
United States of America (the),NA,31,NA
United States of America (the),NA,56,NA
Viet Nam,NA,76,NA
Viet Nam,NA,578,NA
Viet Nam,NA,80,NA
Samoa,NA,NA,31650
Samoa,NA,NA,31600
Yugoslavia,NA,12,NA
Yugoslavia,NA,NA,200000
South Africa,NA,10,NA
Congo (the Democratic Republic of the),NA,NA,NA
Zambia,NA,NA,NA
Senegal,NA,NA,NA
Sierra Leone,NA,60,NA
Soviet Union,NA,400,NA
Soviet Union,NA,NA,NA
Soviet Union,NA,NA,NA
Soviet Union,NA,NA,NA
Swaziland,NA,53,54152
Swaziland,NA,NA,NA
Thailand,NA,17,3000
Thailand,NA,NA,400000
Turkey,NA,3,NA
Turkey,NA,3,NA
Turkey,NA,NA,NA
Tuvalu,NA,NA,NA
Taiwan (Province of China),NA,31,NA
"Tanzania, United Republic of",NA,NA,NA
United States of America (the),NA,80,728600
United States of America (the),NA,NA,600000
United States of America (the),NA,NA,35000
United States of America (the),NA,328,1000000
United States of America (the),NA,NA,30000
United States of America (the),NA,11,20000
United States of America (the),NA,9,17000
United States of America (the),NA,NA,35000
United States of America (the),NA,NA,115000
United States of America (the),NA,33,NA
United States of America (the),NA,29,NA
United States of America (the),NA,27,NA
United States of America (the),NA,10,NA
United States of America (the),NA,18,30000
Viet Nam,NA,21,NA
Viet Nam,NA,134,NA
Viet Nam,NA,33,NA
South Africa,NA,NA,50000
South Africa,NA,64,92000
Senegal,NA,300,NA
Senegal,NA,NA,NA
Solomon Islands,NA,NA,NA
Sierra Leone,NA,352,NA
Somalia,NA,1262,NA
Soviet Union,NA,NA,NA
Soviet Union,NA,29,NA
Soviet Union,NA,NA,NA
Soviet Union,NA,NA,10000
Sweden,NA,11,5800
Turks and Caicos Islands (the),NA,NA,5
Chad,NA,NA,NA
Thailand,NA,18,3600
Turkey,NA,NA,NA
Turkey,NA,13,NA
"Tanzania, United Republic of",NA,10,NA
United States of America (the),NA,104,231600
United States of America (the),NA,NA,NA
United States of America (the),NA,1,NA
United States of America (the),NA,NA,400
United States of America (the),NA,7,12100
United States of America (the),NA,4,NA
United States of America (the),NA,5,NA
United States of America (the),NA,4,1100000
United States of America (the),NA,11,900000
United States of America (the),NA,12,1500000
United States of America (the),NA,33,NA
United States of America (the),NA,49,340000
United States of America (the),NA,145,800000
United States of America (the),NA,NA,200000
United States of America (the),NA,NA,10000
Venezuela (Bolivarian Republic of),NA,38,NA
Viet Nam,NA,93,NA
Viet Nam,NA,798,NA
Vanuatu,NA,9,173000
Yugoslavia,NA,NA,NA
Yugoslavia,NA,NA,NA
United States of America (the),NA,48,1750000
South Africa,NA,NA,NA
Sudan (the),NA,NA,NA
Senegal,NA,NA,NA
Solomon Islands,NA,101,20000
El Salvador,NA,1100,1500000
Somalia,NA,1307,NA
Sao Tome and Principe,NA,150,NA
Soviet Union,NA,1,730000
Soviet Union,NA,2,NA
Chad,NA,NA,NA
Thailand,NA,42,2000
Tunisia,NA,23,NA
Turkey,NA,15,NA
Turkey,NA,NA,NA
Taiwan (Province of China),NA,13,NA
Taiwan (Province of China),NA,14,NA
Taiwan (Province of China),NA,52,405000
Taiwan (Province of China),NA,13,80000
"Tanzania, United Republic of",NA,NA,NA
"Tanzania, United Republic of",NA,NA,NA
Uganda,NA,27,NA
Uruguay,NA,NA,NA
United States of America (the),NA,NA,40000
United States of America (the),NA,NA,720
United States of America (the),NA,13,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,1,30000
United States of America (the),NA,NA,25000
Saint Vincent and the Grenadines,NA,NA,NA
Venezuela (Bolivarian Republic of),NA,2,1000
Venezuela (Bolivarian Republic of),NA,1,NA
Viet Nam,NA,165,NA
Viet Nam,NA,435,NA
Wallis and Futuna,NA,1,NA
Yugoslavia,NA,NA,NA
Zambia,NA,NA,NA
Sudan (the),NA,NA,NA
Sudan (the),NA,NA,NA
Sudan (the),NA,60,NA
Senegal,NA,NA,NA
Somalia,NA,600,NA
Somalia,NA,NA,NA
Soviet Union,NA,52,NA
Soviet Union,NA,26,NA
Soviet Union,NA,NA,NA
Soviet Union,NA,110,546000
Chad,NA,NA,NA
Chad,NA,NA,NA
Thailand,NA,24,7200
Tokelau,NA,NA,500
Turkey,NA,30,NA
Turkey,NA,11,NA
Tuvalu,NA,NA,NA
Taiwan (Province of China),NA,61,NA
"Tanzania, United Republic of",NA,90,NA
Uganda,NA,NA,NA
United States of America (the),NA,29,5000
United States of America (the),NA,7,NA
United States of America (the),NA,61,115000
United States of America (the),NA,19,16000
United States of America (the),NA,35,NA
United States of America (the),NA,8,213000
United States of America (the),NA,NA,4000
United States of America (the),NA,NA,NA
United States of America (the),NA,80,NA
United States of America (the),NA,NA,58000
United States of America (the),NA,NA,10000
Saint Vincent and the Grenadines,NA,NA,5300
Saint Vincent and the Grenadines,NA,NA,5000
Venezuela (Bolivarian Republic of),NA,96,800
Venezuela (Bolivarian Republic of),NA,40,NA
Viet Nam,NA,101,NA
Viet Nam,NA,NA,NA
Viet Nam,NA,22,NA
Vanuatu,NA,48,25000
Yemen Arab Rep,NA,NA,NA
South Africa,NA,506,765305
Congo (the Democratic Republic of the),NA,450,NA
Congo (the Democratic Republic of the),NA,48,NA
China,NA,1400,942887
Uganda,NA,NA,NA
Burkina Faso,NA,NA,NA
Sudan (the),NA,NA,NA
Sudan (the),NA,NA,NA
Senegal,NA,NA,NA
Senegal,NA,NA,NA
Senegal,NA,NA,NA
El Salvador,NA,33,NA
El Salvador,NA,22,NA
Soviet Union,NA,25000,14000000
Soviet Union,NA,NA,NA
Chad,NA,11,157
Chad,NA,43,NA
Chad,NA,433,NA
Chad,NA,NA,NA
Thailand,NA,664,169146
Tunisia,NA,NA,NA
Tunisia,NA,NA,NA
Turkey,NA,64,NA
"Tanzania, United Republic of",NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,26,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,1,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,NA
Venezuela (Bolivarian Republic of),NA,63,NA
Venezuela (Bolivarian Republic of),NA,3,NA
Venezuela (Bolivarian Republic of),NA,11,NA
Viet Nam,NA,137,NA
Viet Nam,NA,20,NA
Vanuatu,NA,NA,NA
Yugoslavia,NA,38,NA
South Africa,NA,25,NA
Albania,NA,NA,NA
Australia,NA,6,NA
Australia,NA,1,20417
Australia,NA,NA,68055
Australia,NA,10,NA
Bolivia (Plurinational State of),NA,NA,48400
Brazil,NA,NA,NA
Brazil,NA,NA,NA
Brazil,NA,300,NA
Canada,NA,NA,810000
Canada,NA,2,15000
Switzerland,NA,NA,NA
Cuba,NA,NA,NA
Djibouti,NA,NA,NA
Brazil,Heavy rains,35,NA
Algeria,NA,22,NA
China,NA,31,NA
Brazil,NA,36,NA
China,NA,84,NA
Angola,NA,766,NA
Angola,NA,NA,NA
Angola,NA,NA,NA
Albania,NA,NA,NA
Netherlands Antilles,NA,11,50000
American Samoa,NA,NA,5000
Antigua and Barbuda,NA,2,80000
Australia,NA,12,1000000
Australia,NA,2,94300
Australia,NA,2,13611
Australia,NA,9,NA
Burundi,NA,12,NA
Benin,NA,228,NA
Bangladesh,NA,800,16200
Bangladesh,NA,1,NA
Bangladesh,NA,180,NA
Bangladesh,NA,15,NA
Bangladesh,NA,100,NA
Bangladesh,NA,70,NA
Bangladesh,NA,NA,NA
Bangladesh,NA,20,NA
Bermuda,NA,NA,NA
Bolivia (Plurinational State of),NA,67,NA
Brazil,NA,35,NA
Brazil,NA,30,NA
Brazil,NA,31,NA
Brazil,NA,69,NA
Brazil,NA,44,NA
Brazil,NA,23,NA
Canada,NA,NA,NA
Canada,NA,1,4200000
Chile,NA,21,NA
China,NA,157,400000
China,NA,26,NA
China,NA,67,NA
China,NA,8,164000
China,NA,29,NA
China,NA,1,54000
China,NA,4,NA
China,NA,NA,NA
China,NA,4,NA
China,NA,550,485000
China,NA,200,NA
China,NA,2000,2789000
Côte d’Ivoire,NA,NA,NA
Cameroon,NA,100,NA
Colombia,NA,16,NA
Comoros (the),NA,NA,5236
Comoros (the),NA,3,NA
Djibouti,NA,10,1100
Dominica,NA,NA,20000
Dominican Republic (the),NA,NA,NA
Ecuador,NA,35,15000
Cameroon,NA,NA,NA
Ecuador,NA,4,NA
Australia,NA,NA,389100
Austria,NA,NA,NA
Bolivia (Plurinational State of),NA,NA,NA
Afghanistan,NA,144,NA
Argentina,NA,21,NA
Antigua and Barbuda,NA,NA,NA
Australia,Extra-tropical cyclone,6,78200
Australia,Heavy rain,6,195500
Australia,NA,NA,155600
Australia,NA,NA,NA
Austria,NA,NA,NA
Austria,NA,NA,10000
Austria,NA,NA,120000
Austria,NA,3,120000
Belgium,NA,10,350000
Belgium,NA,NA,180000
Belgium,NA,NA,60000
Belgium,NA,NA,60000
Belgium,NA,5,240000
Belgium,NA,1,90000
Burkina Faso,NA,NA,NA
Bangladesh,NA,NA,NA
Bangladesh,NA,54,NA
Bangladesh,Heavy rain,166,NA
Bangladesh,Heavy rain,65,6000
Bangladesh,NA,370,NA
Bangladesh,NA,67,NA
Bangladesh,NA,50,NA
Bangladesh,NA,250,NA
Bulgaria,NA,1,NA
Bahamas (the),NA,NA,NA
Belize,NA,NA,2250
Belize,NA,NA,2200
Brazil,Brief torrential rain,17,NA
Brazil,Heavy rains,7,NA
Botswana,NA,NA,NA
Canada,NA,8,8500
Switzerland,NA,NA,NA
Switzerland,NA,3,100000
Switzerland,NA,1,90000
Switzerland,NA,1,90000
Chile,NA,NA,NA
China,NA,33,210000
China,NA,25,335
China,NA,2,NA
China,NA,1,NA
China,NA,126,58350
China,NA,69,NA
China,NA,4,NA
China,Heavy rain,363,592000
China,Heavy rain,72,211000
China,NA,60,NA
China,NA,56,16000
China,NA,16,28000
China,NA,144,157000
China,NA,108,83000
China,NA,115,688000
China,NA,26,154000
China,NA,68,743000
China,NA,36,NA
Cameroon,NA,118,NA
Cook Islands (the),NA,1,NA
Cook Islands (the),NA,7,NA
Colombia,NA,NA,NA
Colombia,NA,NA,NA
Colombia,NA,NA,NA
Colombia,NA,10,NA
Costa Rica,NA,1,19500
Costa Rica,NA,NA,NA
Cuba,NA,NA,NA
Cuba,NA,4,NA
Germany,NA,8,1200000
Germany,NA,7,600000
Germany,NA,NA,60000
Germany,NA,10,180000
Germany,NA,15,1200000
Germany,NA,24,1200000
Denmark,NA,NA,120000
Denmark,NA,NA,60000
Denmark,NA,1,10000
Austria,Heavy rain,5,82000
Afghanistan,NA,24,NA
Austria,NA,NA,28000
China,Heavy rain,1729,7500000
Costa Rica,Heavy rain,1,NA
Costa Rica,NA,47,100000
Canada,NA,NA,500000
China,NA,69,28000
Germany Fed Rep,Heavy rains and thunderstorms,5,56000
Bangladesh,NA,138866,1780000
Afghanistan,NA,130,NA
Afghanistan,Heavy rain,415,60000
Afghanistan,NA,728,NA
Afghanistan,Heavy rains,50,NA
Afghanistan,NA,80,NA
Argentina,NA,NA,NA
Australia,NA,NA,NA
Australia,NA,NA,473000
Australia,NA,NA,1560
Benin,NA,3,NA
Burkina Faso,NA,37,NA
Bangladesh,NA,121,NA
Bangladesh,NA,NA,NA
Bangladesh,Monsoonal rain,65,150000
Bangladesh,Heavy rain,200,NA
Bangladesh,NA,182,NA
Bangladesh,NA,1000,NA
Bangladesh,NA,1700,NA
Bolivia (Plurinational State of),NA,329,NA
Brazil,Heavy rain,20,2000
Brazil,NA,24,NA
Brazil,NA,196,NA
Brazil,NA,NA,NA
Canada,NA,18,NA
Chile,NA,NA,15000
Chile,NA,1,NA
Chile,NA,NA,200000
Chile,NA,141,6000
China,NA,NA,NA
China,NA,1,NA
China,Heavy rain,106,530000
China,NA,100,465330
China,NA,14,110000
China,NA,33,117560
China,NA,1075,NA
China,NA,2000,NA
China,NA,200,NA
China,NA,26,14120
China,NA,39,4800
Côte d’Ivoire,NA,16,NA
Cameroon,NA,2,NA
Cameroon,NA,308,NA
Colombia,NA,2,NA
Colombia,NA,10,NA
Colombia,Heavy rains,45,NA
Colombia,NA,50,400
Colombia,NA,NA,NA
Colombia,NA,350,NA
Comoros (the),NA,NA,NA
Costa Rica,NA,NA,NA
Costa Rica,NA,NA,NA
Costa Rica,NA,NA,NA
Cyprus,NA,NA,NA
Germany,NA,NA,5000
Dominican Republic (the),NA,10,NA
Algeria,NA,NA,NA
Ecuador,NA,343,NA
Egypt,NA,1,NA
Argentina,Brief torrential rain,45,250000
China,NA,109,96000
China,NA,35,68700
China,NA,NA,90000
Afghanistan,Brief torrential rain,450,4000
Brazil,Heavy rain,41,25800
Brazil,Heavy rain,25,NA
China,Brief torrential rain,25,110000
China,Heavy rain,88,3700
Colombia,NA,11,NA
Chile,NA,NA,NA
China,NA,168,412400
Afghanistan,NA,14,NA
Afghanistan,NA,150,NA
Albania,Brief torrential rain,11,7000
Argentina,Heavy rain,NA,260000
Argentina,NA,67,NA
Australia,NA,NA,103100
Australia,NA,2,274900
Australia,NA,NA,1500000
Burundi,NA,220,NA
Belgium,NA,NA,100000
Bangladesh,NA,15,NA
Bangladesh,Monsoonal rain,2,NA
Bangladesh,NA,NA,NA
Bangladesh,NA,7,NA
Bangladesh,NA,16,NA
Bangladesh,NA,200,NA
Bahamas (the),NA,4,250000
Bolivia (Plurinational State of),Heavy rain,4,100000
Bolivia (Plurinational State of),Heavy rains,NA,100000
Bolivia (Plurinational State of),NA,49,400000
Brazil,Heavy rain,29,NA
Brazil,Heavy rains,12,NA
Brazil,NA,30,NA
Bhutan,NA,NA,NA
Central African Republic,NA,56,NA
Canada,NA,NA,2000000
Canada,NA,NA,120000
Canada,NA,17,NA
Chile,NA,NA,120000
Chile,NA,NA,NA
China,NA,NA,NA
China,NA,NA,3150
China,NA,49,NA
China,Heavy rain,248,170000
China,Heavy rain,96,146000
China,Heavy rain,35,76000
China,NA,48,3400
China,NA,53,425000
China,NA,NA,53200
China,NA,NA,NA
China,NA,448,68700
China,NA,47,110000
Cameroon,NA,731,NA
Cabo Verde,NA,NA,NA
Costa Rica,NA,NA,NA
Cuba,NA,NA,NA
Cuba,Heavy rain,NA,2590
Germany,NA,1,50000
Germany,NA,NA,30100
Denmark,NA,NA,751700
Dominican Republic (the),NA,20,NA
Algeria,NA,NA,NA
Algeria,Heavy rain,21,900
Ecuador,Heavy rain,22,20000
Ecuador,NA,200,NA
Egypt,NA,552,1200000
Colombia,Brief torrential rain,63,NA
Switzerland,NA,NA,22000
Germany,NA,NA,30000
Switzerland,NA,2,420000
Afghanistan,NA,100,NA
Afghanistan,NA,NA,NA
Afghanistan,NA,115,NA
Afghanistan,NA,10,NA
Argentina,Heavy rain,NA,400000
Argentina,NA,NA,600000
Argentina,NA,15,50000
Argentina,NA,NA,92000
Australia,NA,NA,NA
Australia,Brief torrential rain,1,4600
Australia,NA,17,NA
Australia,NA,NA,NA
Austria,NA,NA,1000
Belgium,NA,NA,NA
Belgium,NA,NA,17000
Bangladesh,NA,31,NA
Bangladesh,Monsoonal rain,28,NA
Bangladesh,Monssonal rain,162,NA
Bangladesh,NA,14,NA
Bangladesh,NA,50,NA
Bangladesh,NA,38,NA
Bangladesh,NA,8,NA
Bangladesh,NA,300,NA
Bangladesh,NA,9,NA
Bangladesh,NA,25,NA
Bangladesh,NA,4,NA
Bangladesh,NA,15,NA
Bulgaria,NA,NA,NA
Belarus,Heavy rain,NA,100000
Canada,NA,NA,NA
Switzerland,NA,NA,1760
Chile,NA,6,NA
Chile,NA,109,34000
Chile,NA,NA,NA
China,NA,31,88000
China,NA,93,41000
China,NA,15,NA
China,NA,NA,NA
China,NA,NA,NA
China,NA,131,NA
China,NA,59,NA
China,Heavy rain,41,27000
China,NA,120,NA
China,NA,28,433920
China,NA,19,NA
China,NA,10,219670
China,NA,10,12610
China,NA,7,263670
China,NA,1,286370
China,NA,NA,15890
China,NA,NA,7380
China,NA,1000,6061000
Cameroon,NA,513,NA
Colombia,NA,75,NA
Colombia,NA,2,NA
Colombia,NA,10,NA
Colombia,NA,10,NA
Colombia,NA,10,NA
Costa Rica,NA,3,NA
Costa Rica,NA,9,NA
Cuba,NA,5,1000000
Cuba,Brief torrential rain,12,NA
Cuba,Brief torrential rain,34,140000
Cuba,NA,NA,NA
Cuba,NA,NA,NA
Germany,Brief torrential rain,5,600000
Germany,NA,6,380000
Djibouti,NA,NA,NA
Dominican Republic (the),NA,12,NA
Dominican Republic (the),NA,18,NA
Algeria,Heavy rain,22,NA
Algeria,NA,15,NA
Ecuador,"Heavy rains, tremor",250,NA
Ecuador,NA,200,500000
Egypt,NA,34,NA
Australia,NA,4,150000
Austria,NA,NA,2000
Bangladesh,NA,130,125000
Bolivia (Plurinational State of),NA,NA,NA
Switzerland,NA,NA,5000
Colombia,NA,11,NA
Germany,NA,NA,200000
Germany,NA,6,400000
Ecuador,NA,NA,NA
Saint Lucia,NA,NA,2500
Madagascar,NA,200,NA
Ethiopia,NA,7385,NA
France,Brief torrential rains,10,500000
Guyana,NA,NA,NA
Hong Kong,NA,NA,NA
Haiti,NA,NA,NA
Haiti,NA,12,NA
Haiti,NA,NA,NA
India,NA,850,NA
Iceland,NA,NA,NA
Japan,NA,NA,NA
Japan,NA,27,NA
Lao People's Democratic Republic (the),NA,NA,NA
Sri Lanka,NA,NA,NA
Morocco,NA,NA,NA
Mexico,NA,48,NA
Mexico,NA,NA,NA
Niger (the),NA,NA,NA
New Zealand,NA,6,NA
New Zealand,NA,NA,NA
New Zealand,NA,NA,NA
New Zealand,NA,1,NA
Indonesia,NA,120,NA
India,Monsoon rain,1591,NA
Iran (Islamic Republic of),NA,NA,NA
Ethiopia,NA,NA,NA
Spain,NA,19,NA
Spain,NA,14,NA
Spain,NA,12,375000
Fiji,NA,10,NA
France,NA,NA,1600000
France,NA,9,NA
United Kingdom of Great Britain and Northern Ireland (the),NA,13,NA
Ghana,NA,7,NA
Ghana,NA,NA,NA
Guadeloupe,NA,5,50000
Guatemala,NA,10,NA
Guyana,NA,NA,NA
Hong Kong,NA,3,NA
Hong Kong,NA,7,NA
Hong Kong,NA,2,67
Hong Kong,NA,NA,NA
Honduras,NA,10,NA
Haiti,NA,NA,NA
Haiti,NA,NA,NA
Haiti,NA,NA,NA
Indonesia,NA,NA,NA
Indonesia,NA,NA,NA
Indonesia,NA,NA,NA
Indonesia,NA,6,341
Indonesia,NA,NA,NA
Indonesia,NA,18,NA
India,NA,45,NA
India,NA,18,NA
India,NA,41,NA
India,NA,43,NA
India,NA,50,NA
India,NA,109,NA
India,NA,18,NA
India,NA,200,NA
Iran (Islamic Republic of),NA,100,NA
Iran (Islamic Republic of),NA,NA,2000
Jordan,NA,NA,NA
Japan,NA,18,NA
Japan,NA,15,NA
Japan,NA,NA,NA
Japan,NA,10,NA
Saint Kitts and Nevis,NA,1,46000
Korea (the Republic of),NA,109,176500
Sri Lanka,Heavy rains,325,35000
Lesotho,NA,NA,NA
Madagascar,NA,46,NA
Mexico,NA,3,NA
Mexico,NA,NA,83200
Mexico,NA,40,NA
Mali,NA,1,NA
Mozambique,NA,2,NA
Montserrat,NA,11,240000
Martinique,NA,NA,NA
Mauritius,NA,1,60000
Malawi,NA,9,28000
Malawi,NA,35,NA
Malawi,NA,13,NA
New Caledonia,NA,2,NA
Niger (the),NA,19,NA
Niger (the),NA,167,NA
Nigeria,NA,29,NA
Nepal,Heavy rains,49,NA
New Zealand,NA,NA,NA
Pakistan,Heavy rains,20,NA
Peru,NA,38,NA
Philippines (the),NA,NA,NA
Philippines (the),NA,13,NA
Philippines (the),NA,14,NA
Philippines (the),NA,72,NA
Philippines (the),NA,97,61000
Philippines (the),NA,58,59200
Philippines (the),NA,30,35400
Philippines (the),NA,147,8000
Philippines (the),NA,22,4300
Philippines (the),NA,11,325
Philippines (the),NA,13,2860
Philippines (the),NA,44,6000
Puerto Rico,NA,NA,NA
Puerto Rico,NA,NA,NA
Portugal,NA,NA,NA
Réunion,NA,10,50000
Indonesia,Heavy rain,169,4800
Indonesia,NA,1,2100
India,Monsoonal rain,60,NA
Iran (Islamic Republic of),NA,40000,8000000
Philippines (the),NA,2412,369600
Philippines (the),Tropical cyclone,28,NA
Philippines (the),NA,1,900
Paraguay,Heavy rain,NA,NA
Mexico,Heavy rain,45,44000
Peru,NA,200,1000
Greece,NA,NA,1000000
Mexico,NA,380,NA
Namibia,NA,NA,50000
Peru,NA,NA,36000
Niger (the),NA,NA,NA
Mozambique,NA,NA,50000
Spain,NA,NA,4500000
Spain,NA,8,NA
Spain,NA,1,NA
Ethiopia,Heavy rain,NA,NA
Finland,NA,NA,5000
Finland,NA,NA,5000
Fiji,NA,NA,NA
Fiji,NA,NA,NA
Fiji,NA,NA,10000
France,NA,14,NA
France,NA,5,NA
France,NA,NA,NA
France,NA,NA,400000
France,NA,23,900000
France,NA,NA,60000
France,NA,NA,60000
France,NA,NA,60000
France,NA,10,200000
France,NA,10,230000
United Kingdom of Great Britain and Northern Ireland (the),NA,NA,NA
United Kingdom of Great Britain and Northern Ireland (the),NA,NA,NA
United Kingdom of Great Britain and Northern Ireland (the),NA,47,3400000
United Kingdom of Great Britain and Northern Ireland (the),NA,NA,10000
United Kingdom of Great Britain and Northern Ireland (the),NA,NA,60000
United Kingdom of Great Britain and Northern Ireland (the),NA,NA,70000
United Kingdom of Great Britain and Northern Ireland (the),NA,18,900000
United Kingdom of Great Britain and Northern Ireland (the),NA,18,350000
Guadeloupe,NA,NA,NA
Greece,NA,1,NA
Greece,NA,NA,NA
Greece,NA,3,NA
Grenada,NA,NA,NA
Guatemala,NA,200,NA
Honduras,Heavy rain,5,100000
Haiti,NA,NA,NA
Indonesia,NA,5,NA
Indonesia,NA,NA,NA
Indonesia,NA,33,8000
Indonesia,NA,50,NA
Indonesia,NA,22,NA
India,NA,500,NA
India,NA,120,2200000
India,Brief torrential rain,69,NA
India,Heavy rain,21,NA
India,NA,30,NA
India,NA,957,580000
India,NA,250,112800
India,NA,86,NA
India,NA,178,NA
India,NA,58,NA
India,NA,74,NA
India,NA,90,NA
India,NA,16,NA
Ireland,NA,NA,NA
Ireland,NA,NA,30000
Ireland,NA,1,60000
Ireland,NA,1,20000
Iran (Islamic Republic of),NA,21,232300
Iran (Islamic Republic of),NA,NA,77400
Iran (Islamic Republic of),NA,21,NA
Italy,NA,2,NA
Italy,NA,19,500000
Italy,Drought period,NA,880000
Italy,NA,NA,705000
Italy,NA,6,20000
Jamaica,NA,NA,NA
Japan,NA,NA,13000
Japan,NA,27,1700000
Japan,NA,40,4000000
Kenya,NA,NA,NA
Kenya,NA,44,NA
Saint Kitts and Nevis,NA,NA,NA
Korea (the Republic of),Heavy rain,127,38000
Korea (the Republic of),NA,40,NA
Korea (the Republic of),NA,27,6000
Liberia,NA,NA,47000
Sri Lanka,Heavy rain,33,NA
Sri Lanka,Heavy rain,NA,NA
Lesotho,Heavy rain,22,NA
Lesotho,NA,NA,NA
Luxembourg,NA,NA,90000
Luxembourg,NA,NA,90000
Luxembourg,NA,NA,5000
Luxembourg,NA,NA,5000
Luxembourg,NA,NA,90000
Luxembourg,NA,NA,90000
Mexico,NA,38,90700
Mongolia,NA,36,NA
Mongolia,NA,NA,110000
Mozambique,NA,106,NA
Mozambique,NA,588,NA
Montserrat,NA,NA,NA
Martinique,NA,8,NA
Malawi,NA,NA,NA
Nigeria,NA,60,NA
Nicaragua,NA,NA,NA
Nicaragua,NA,4,NA
Niue,NA,NA,NA
Netherlands (the),NA,20,1200000
Netherlands (the),NA,NA,180000
Netherlands (the),NA,NA,70000
Netherlands (the),NA,NA,60000
Netherlands (the),NA,NA,180000
Netherlands (the),NA,NA,60000
Norway,NA,NA,10000
Norway,NA,NA,120000
Nepal,Monsoonal rain,30,NA
Nepal,NA,150,NA
Pakistan,NA,11,NA
Pakistan,NA,11,1000
Pakistan,NA,NA,NA
Pakistan,NA,18,NA
Peru,NA,NA,NA
Peru,Heavy rain,20,NA
Peru,Heavy rain,20,NA
Peru,Heavy rain,21,NA
Peru,NA,33,NA
Philippines (the),NA,4,NA
Philippines (the),Brief torrential rains,98,43
Philippines (the),NA,64,NA
Philippines (the),NA,503,388500
Philippines (the),NA,85,NA
Philippines (the),NA,85,NA
Philippines (the),NA,NA,NA
Philippines (the),NA,21,NA
Philippines (the),El Nino,NA,64000
Philippines (the),NA,50,NA
Papua New Guinea,NA,NA,NA
Poland,NA,NA,50000
Romania,NA,9,NA
Philippines (the),NA,640,211000
Philippines (the),NA,5956,100000
Panama,NA,30,NA
India,Monsoonal rain,60,NA
Indonesia,Prolonged drought,57,13200
Georgia,NA,8,NA
Guatemala,NA,14,NA
India,NA,1500,60000
India,Monsoonal rain,88,NA
Korea (the Republic of),Heavy rain,54,105000
Mexico,Heavy rains,23,NA
Malawi,Brief torrential rain,472,24000
Panama,Heavy rain,12,NA
Peru,NA,11,NA
Philippines (the),Extra-tropical cyclone,50,NA
Romania,NA,NA,NA
India,NA,524,NA
